CjSA37,NC_009715.2,81.818,88,7,3,162,247,1790594,1790514,1.07E-16,82.4
CjSA37,NC_009715.2,82.895,76,6,2,172,247,828363,828431,4.57E-15,77
CjSA39,NC_009715.2,84.127,126,19,1,314,438,831491,831616,2.29E-32,134
CjSA39,NC_009715.2,84.127,126,19,1,314,438,1346019,1345894,2.29E-32,134
CjSA39,NC_009715.2,84.127,126,19,1,314,438,1787454,1787329,2.29E-32,134
CjSA39,NC_009715.2,97.26,73,1,1,39,111,831277,831348,5.05E-28,120
CjSA39,NC_009715.2,97.26,73,1,1,39,111,1346233,1346162,5.05E-28,120
CjSA39,NC_009715.2,97.26,73,1,1,39,111,1787668,1787597,5.05E-28,120
CjSA42,NC_009715.2,77.778,63,14,0,5,67,1008354,1008292,6.62E-08,51.8
CjSA43,NC_009715.2,86.111,36,3,2,84,118,1210275,1210241,0.004,36.5
CjSA43,NC_009715.2,83.333,30,5,0,84,113,1540485,1540514,0.047,32.8
CjSA43,NC_009715.2,100,17,0,0,104,120,692732,692748,0.047,31.9
CjSA43,NC_009715.2,85.185,27,4,0,84,110,836270,836296,0.047,31.9
CjSA43,NC_009715.2,100,17,0,0,104,120,1258250,1258266,0.047,31.9
CjSA44,NC_009715.2,88.462,26,3,0,7,32,409837,409812,0.009,34.6
CjSA47,NC_009715.2,75.758,132,32,0,1,132,1398193,1398062,6.58E-21,95.1
CjSA47,NC_009715.2,95.238,21,1,0,65,85,254359,254339,0.019,34.6
CjSA48,NC_009715.2,79.096,177,37,0,13,189,1397247,1397071,4.36E-38,153
CjSA49,NC_009715.2,92.5,80,6,0,1,80,1381953,1381874,3.39E-28,118
CjSA49,NC_009715.2,77.586,58,11,1,8,65,997115,997170,6.13E-06,44.6
CjSA49,NC_009715.2,77.586,58,11,1,8,65,1937978,1937923,6.13E-06,44.6
CjSA49,NC_009715.2,95.652,23,1,0,4,26,1063983,1063961,0.001,38.3
CjSA50,NC_009715.2,88.462,26,3,0,88,113,1701613,1701588,0.046,34.6
CjSA51,NC_009715.2,80.277,289,53,4,80,365,1120649,1120362,3.40E-67,251
